#==================================================================
# OMERE 5.6.1.30196 - Orbit
#
# File: C:\Users\giorg\Documents\OMERE 5.6\orbit.dat
# Creation: 13/01/2025 03:11:53
#==================================================================

# Number of segment(s) in the mission: 1

#*************************************************************
# Segment : 1/1
#*************************************************************
# Name :                                AEOLUS Orbit
# Duration :                            5 year(s)
# Perigee :                             320.000000km
# Apogee :                              320.000000km
# Inclination :                         97.000°
# Argument of Perigee :                 0.000°
# Longitude of Ascending node :         0.000°
# (with respect to Greenwich)
# True Anomaly :                        0.000°
# Period :                              5455.596s
# Number of orbits :                    100
# Number of points per orbit :          100


#      altitude      latitude     longitude         time
#          (km)           (°)           (°)          (s)
    325.234461        29.674       129.007       13203.9
    324.137128        26.113       128.218       13258.4
    323.140389        22.550       127.463       13313.0
    322.259872        18.985       126.734       13367.5
    321.509378        15.419       126.027       13422.1
    320.900665        11.852       125.335       13476.7
    320.443264         8.285       124.656       13531.2
    320.144339         4.717       123.984       13585.8
    320.008569         1.148       123.318       13640.4
    320.038080        -2.421       122.652       13694.9
    320.232408        -5.989       121.984       13749.5
    320.588513        -9.557       121.310       13804.0
    321.100820       -13.125       120.627       13858.6
    321.761305       -16.691       119.930       13913.2
    322.559624       -20.257       119.216       13967.7
    323.483269       -23.821       118.478       14022.3
    324.517760       -27.383       117.712       14076.8
    325.646876       -30.943       116.910       14131.4
    326.852901       -34.501       116.063       14186.0
    328.116901       -38.055       115.161       14240.5
    329.419023       -41.605       114.190       14295.1
    330.738800       -45.149       113.132       14349.7
    332.055477       -48.687       111.964       14404.2
    333.348334       -52.215       110.654       14458.8
    334.597014       -55.733       109.158       14513.3
    335.781842       -59.234       107.410       14567.9
    336.884142       -62.714       105.315       14622.5
    337.886526       -66.162       102.724       14677.0
    338.773177       -69.563        99.392       14731.6
    339.530095       -72.888        94.899       14786.1
    340.145326       -76.083        88.472       14840.7
    340.609151       -79.033        78.629       14895.3
    340.914239       -81.481        62.667       14949.8
    341.055768       -82.886        37.823       15004.4
    341.031502       -82.626         8.856       15059.0
    340.841823       -80.843       -13.346       15113.5
    340.489730       -78.208       -27.163       15168.1
    339.980788       -75.168       -35.791       15222.6
    339.323039       -71.927       -41.540       15277.2
    338.526873       -68.575       -45.635       15331.8
    337.604865       -65.158       -48.716       15386.3
    336.571569       -61.700       -51.143       15440.9
    335.443288       -58.213       -53.124       15495.4
    334.237816       -54.706       -54.790       15550.0
    332.974153       -51.185       -56.226       15604.6
    331.672207       -47.654       -57.491       15659.1
    330.352473       -44.114       -58.624       15713.7
    329.035716       -40.568       -59.654       15768.2
    327.742641       -37.017       -60.603       15822.8
    326.493566       -33.461       -61.488       15877.4
    325.308110       -29.903       -62.320       15931.9
    324.204878       -26.342       -63.111       15986.5
    323.201178       -22.779       -63.869       16041.1
    322.312748       -19.215       -64.599       16095.6
    321.553512       -15.649       -65.308       16150.2
    320.935364       -12.082       -66.000       16204.7
    320.467987        -8.514       -66.680       16259.3
    320.158698        -4.946       -67.352       16313.9
    320.012339        -1.378       -68.019       16368.4
    320.031202         2.191       -68.684       16423.0
    320.214990         5.759       -69.352       16477.5
    320.560828         9.327       -70.025       16532.1
    321.063300        12.895       -70.708       16586.7
    321.714539        16.462       -71.404       16641.2
    322.504344        20.027       -72.117       16695.8
    323.420341        23.592       -72.853       16750.4
    324.448172        27.154       -73.617       16804.9
    325.571718        30.714       -74.417       16859.5
    326.773353        34.272       -75.260       16914.0
    328.034212        37.826       -76.159       16968.6
    329.334492        41.376       -77.125       17023.2
    330.653757        44.921       -78.176       17077.7
    331.971259        48.459       -79.336       17132.3
    333.266267        51.989       -80.636       17186.8
    334.518390        55.507       -82.119       17241.4
    335.707901        59.009       -83.848       17296.0
    336.816050        62.491       -85.916       17350.5
    337.825357        65.941       -88.470       17405.1
    338.719895        69.346       -91.744       17459.7
    339.485543        72.677       -96.144       17514.2
    340.110208        75.883      -102.412       17568.8
    340.584021        78.855      -111.969       17623.3
    340.899494        81.347      -127.432       17677.9
    341.051642        82.841      -151.715       17732.5
    341.038059        82.696       179.219       17787.0
    340.858961        80.990       156.421       17841.6
    340.517177        78.392       142.157       17896.1
    340.018110        75.371       133.281       17950.7
    339.369647        72.139       127.391       18005.3
    338.582031        68.793       123.214       18059.8
    337.667702        65.380       120.080       18114.4
    336.641092        61.923       117.619       18169.0
    335.518401        58.438       115.614       18223.5
    334.317335        54.932       113.930       18278.1
    333.056826        51.412       112.481       18332.6
    331.756730        47.881       111.207       18387.2
    330.437517        44.342       110.067       18441.8
    329.119943        40.796       109.031       18496.3
    327.824727        37.245       108.077       18550.9
    326.572222        33.690       107.188       18605.4
    325.382100        30.132       106.353       18660.0
    324.273041        26.571       105.559       18714.6
    323.262446        23.009       104.800       18769.1
    322.366159        19.444       104.068       18823.7
    321.598230        15.878       103.358       18878.3
    320.970689        12.311       102.665       18932.8
    320.493365         8.744       101.984       18987.4
    320.173732         5.176       101.312       19041.9
    320.016794         1.607       100.645       19096.5
    320.025007        -1.961        99.979       19151.1
    320.198244        -5.530        99.312       19205.6
    320.533791        -9.098        98.639       19260.2
    321.026397       -12.665        97.957       19314.7
    321.668347       -16.232        97.262       19369.3
    322.449587       -19.798        96.550       19423.9
    323.357877       -23.362        95.816       19478.4
    324.378980       -26.925        95.054       19533.0
    325.496884       -30.485        94.257       19587.5
    326.694050       -34.043        93.416       19642.1
    327.951687       -37.598        92.522       19696.7
    329.250040       -41.148        91.561       19751.2
    330.568706       -44.693        90.515       19805.8
    331.886948       -48.232        89.363       19860.4
    333.184022       -51.762        88.074       19914.9
    334.439507       -55.281        86.604       19969.5
    335.633623       -58.785        84.893       20024.0
    336.747548       -62.268        82.850       20078.6
    337.763711       -65.721        80.334       20133.2
    338.666080       -69.129        77.116       20187.7
    339.440407       -72.466        72.806       20242.3
    340.074464       -75.682        66.691       20296.8
    340.558235       -78.674        57.409       20351.4
    340.884073       -81.210        42.429       20406.0
    341.046829       -82.789        18.723       20460.5
    341.043931       -82.758       -10.386       20515.1
    340.875424       -81.133       -33.776       20569.7
    340.543972       -78.576       -48.500       20624.2
    340.054814       -75.573       -57.636       20678.8
    339.415679       -72.351       -63.670       20733.3
    338.636664       -69.011       -67.933       20787.9
    337.730073       -65.601       -71.121       20842.5
    336.710217       -62.146       -73.618       20897.0
    335.593190       -58.663       -75.647       20951.6
    334.396609       -55.158       -77.348       21006.1
    333.139334       -51.639       -78.811       21060.7
    331.841174       -48.108       -80.095       21115.3
    330.522568       -44.570       -81.243       21169.8
    329.204263       -41.024       -82.285       21224.4
    327.906989       -37.474       -83.243       21279.0
    326.651135       -33.919       -84.135       21333.5
